Synset,isBasic_percentage,IsNotHard_percentage,TimeDiffs_sum,TimeDiffs_average,Depth
contribution.n.01,0.3,0.9,29.302,2.9302,0.35
convention.n.02,0.4,1.0,444.339,44.4339,0.25
countenance.n.03,0.0,1.0,33.977,3.3976999999999995,0.35
counterbombardment.n.01,0.0,1.0,16.564,1.6564,
country.n.02,1.0,1.0,12.896999999999998,1.2896999999999998,0.35
couple.n.04,1.0,1.0,10.546,1.0546,0.4
course.n.01,1.0,1.0,21.195,2.1195,0.35
crest.n.05,0.1,1.0,30.067999999999998,3.0067999999999997,0.3
cross_section.n.03,0.1,1.0,34.174,3.4173999999999998,
cry.n.01,1.0,1.0,12.382,1.2382,0.25
cusp.n.01,0.0,1.0,45.296,4.5296,0.4
cutaneous_sensation.n.01,0.0,1.0,29.528,2.9528,
dail_eireann.n.01,0.0,1.0,14.857,1.4857,0.4
dance_step.n.01,0.4,0.9,47.708,4.7707999999999995,0.45
daub.n.01,0.0,1.0,36.568999999999996,3.6568999999999994,0.45
day.n.04,1.0,1.0,13.796000000000001,1.3796000000000002,0.25
deal.n.01,0.9,0.9,25.363,2.5362999999999998,0.35
death.n.04,1.0,1.0,11.906,1.1906,0.25
decision.n.01,1.0,1.0,13.225999999999999,1.3226,0.35
degree.n.02,1.0,1.0,13.038,1.3038,0.2
demonstrative_pronoun.n.01,0.1,1.0,24.295,2.4295,0.4
deposition.n.01,0.1,1.0,21.777,2.1777,0.25
descant.n.01,0.1,1.0,35.521,3.5521000000000003,0.4
desensitization_technique.n.01,0.0,1.0,13.491999999999999,1.3492,
designation.n.03,0.0,1.0,18.04,1.8039999999999998,0.35
detail.n.01,1.0,0.9,12.544,1.2544,0.3
determination.n.02,0.6,1.0,18.504,1.8504,0.25
diminution.n.02,0.1,0.8,24.759,2.4759,0.4
direction.n.06,0.9,0.9,29.628,2.9628,0.2
discovery.n.01,0.9,1.0,14.339,1.4339,0.25
discussion.n.02,0.9,1.0,29.065,2.9065000000000003,0.25
distaff.n.01,0.1,1.0,28.432,2.8432,0.35
doggedness.n.01,0.0,1.0,27.512999999999998,2.7512999999999996,0.3
domain.n.02,0.6,1.0,18.479,1.8478999999999999,0.25
