Synset,isBasic_percentage,IsNotHard_percentage,TimeDiffs_sum,TimeDiffs_average,Depth
system.n.02,0.9,0.9,30.667,3.0667,0.15
table.n.01,1.0,1.0,10.348,1.0348000000000002,0.25
talk.n.01,1.0,1.0,14.747,1.4747,0.3
tempestuousness.n.01,0.0,1.0,13.329,1.3329,
terror.n.03,0.9,1.0,11.332,1.1332,0.5
test.n.05,1.0,1.0,12.424,1.2424,0.35
texture.n.02,0.8,0.9,40.939,4.0939,0.45
thelarche.n.01,0.0,1.0,14.506,1.4506000000000001,
theme.n.03,0.8,0.9,56.581999999999994,5.658199999999999,0.3
thing.n.04,1.0,1.0,14.161,1.4161,0.25
thinking.n.01,0.9,1.0,171.137,17.1137,0.3
thought.n.03,1.0,1.0,37.157,3.7156999999999996,0.3
thousand.n.01,1.0,0.9,196.618,19.6618,0.35
time.n.03,1.0,1.0,8.18,0.818,0.25
title.n.01,1.0,1.0,10.837,1.0836999999999999,0.45
toilet.n.01,1.0,1.0,12.722000000000001,1.2722000000000002,0.4
token.n.02,0.6,1.0,14.913,1.4913,0.35
toleration.n.02,0.1,0.9,19.26,1.9260000000000002,0.5
top.n.09,1.0,1.0,17.999,1.7998999999999998,0.3
touch.n.10,1.0,1.0,14.62,1.462,0.35
town.n.01,1.0,1.0,17.509999999999998,1.751,0.4
trestle.n.02,0.0,1.0,12.216,1.2216,0.45
trinity.n.02,0.2,1.0,18.284,1.8283999999999998,0.45
trip.n.06,1.0,1.0,9.834,0.9833999999999999,0.5
undertone.n.02,0.2,0.9,34.751,3.4751,0.35
undivided_interest.n.01,0.0,1.0,18.073999999999998,1.8074,
union_shop.n.01,0.1,1.0,13988.264,1398.8264,
unitization.n.04,0.0,1.0,20.005,2.0004999999999997,
universe.n.01,1.0,1.0,67.39,6.739,0.25
urgency.n.01,0.5,0.9,29.482,2.9482,0.35
use.n.01,1.0,1.0,21.555,2.1555,0.3
value.n.01,1.0,1.0,9.824,0.9823999999999999,0.45
velleity.n.01,0.0,1.0,25.585,2.5585,
vibration.n.04,0.4,1.0,22.892,2.2892,0.25
viewgraph.n.01,0.0,1.0,19.917,1.9917000000000002,0.45
viewing_audience.n.01,0.2,1.0,25.068,2.5068,0.25
violence.n.01,1.0,1.0,24.174,2.4173999999999998,0.35
vitamin_pill.n.01,0.4,0.6,41.126000000000005,4.1126000000000005,
voice.n.01,1.0,1.0,14.008,1.4007999999999998,0.3
wall.n.01,1.0,1.0,82.63000000000001,8.263000000000002,0.35
war.n.01,1.0,1.0,33.025,3.3024999999999998,0.35
water.n.01,1.0,1.0,17.945,1.7945,0.45
way.n.06,1.0,1.0,10.111,1.0111,0.25
weather.n.01,1.0,1.0,21.939999999999998,2.194,0.35
weeder.n.01,0.0,1.0,91.33,9.133,0.65
week.n.01,1.0,1.0,11.989,1.1989,0.25
white.n.11,1.0,1.0,11.945,1.1945000000000001,0.45
whole.n.02,1.0,1.0,12.526,1.2526,0.15
wiggliness.n.01,0.0,1.0,14.4,1.44,
wish.n.01,1.0,0.9,23.289,2.3289,0.3
woman.n.01,1.0,1.0,12.573,1.2573,0.4
word.n.01,1.0,1.0,10.766,1.0766,0.25
work_force.n.01,0.4,1.0,52.288000000000004,5.228800000000001,0.3
workplace.n.01,0.6,0.8,237.279,23.727899999999998,0.3
workshop.n.02,0.5,0.9,24.265,2.4265,0.4
world_power.n.01,0.2,1.0,35.229,3.5229,0.4
writer.n.01,1.0,0.9,44.58,4.458,0.4
writing.n.03,1.0,1.0,11.269,1.1269,0.45
yak.n.01,0.1,0.9,46.554,4.6554,0.35
year.n.01,1.0,1.0,11.184000000000001,1.1184,0.25
